的,de dī dí dì,一,yī,了,le liǎo,是,shì,不,bù
我,wǒ,在,zài,人,rén,有,yǒu,这,zhè
他,tā,来,lái,个,gě gè,你,nǐ,说,shuì shuō
上,shǎng shàng,到,dào,就,jiù,着,zhāo zháo zhe zhuó,大,dà dài
们,mén men,道,dào,那,nā nà,么,me,也,yě
地,de dì,子,zǐ,下,xià,出,chū,时,shí
看,kān kàn,要,yāo yào,她,tā,中,zhōng zhòng,没,méi mò
然,rán,里,lǐ,为,wéi wèi,过,guō guò,自,zì
好,hǎo hào,得,dé de děi,去,qù,可,kě kè,会,huì kuài
天,tiān,还,hái huán,心,xīn,后,hòu,以,yǐ
小,xiǎo,都,dōu dū,和,hé hè hú huó huò huo,对,duì,想,xiǎng
能,néng,起,qǐ,之,zhī,手,shǒu,而,ér
只,zhī zhǐ,生,shēng,什,shén shí,身,shēn,头,tóu
样,yàng,事,shì,多,duō,己,jǐ,家,jiā jia
面,miàn,知,zhī,开,kāi,如,rú,无,mó wú
现,xiàn,很,hěn,点,diǎn,前,qián,发,fā fà
经,jīng jìng,情,qíng,把,bǎ bà,老,lǎo,些,xiē
话,huà,已,yǐ,又,yòu,声,shēng,意,yì
于,yú,回,huí,笑,xiào,所,suǒ,但,dàn
眼,yǎn,成,chéng,方,fāng,年,nián,见,jiàn xiàn
当,dāng dàng,女,nǚ,真,zhēn,两,liǎng,力,lì
气,qì,从,cóng,用,yòng,长,cháng zhǎng,动,dòng
间,jiān jiàn,国,guó,走,zǒu,让,ràng,被,bèi
给,gěi jǐ,正,zhēng zhèng,问,wèn,打,dá dǎ,明,míng
儿,ér,法,fǎ,才,cái,几,jī jǐ,行,háng héng xíng
三,sān,定,dìng,此,cǐ,进,jìn,再,zài
种,chóng zhǒng zhòng,将,jiāng jiàng,实,shí,同,tóng tòng,最,zuì
本,běn,向,xiàng,分,fēn fèn,十,shí,学,xué
高,gāo,第,dì,感,gǎn,怎,zěn,神,shén
听,tīng,边,biān,作,zuō zuò,其,qí,吧,bā ba
却,què,口,kǒu,觉,jiào jué,啊,ā á ǎ à a,因,yīn
白,bái,次,cì,军,jūn,做,zuò,外,wài
门,mén,光,guāng,风,fēng,主,zhǔ,住,zhù
果,guǒ,与,yǔ yù,全,quán,二,èr,候,hòu
公,gōng,相,xiāng xiàng,吗,má mǎ ma,等,děng,别,bié biè
色,sè shǎi,死,sǐ,张,zhāng,部,bù,太,tài
日,rì,少,shǎo shào,战,zhàn,理,lǐ,直,zhí
重,chóng zhòng,王,wáng,像,xiàng,脸,liǎn,比,bǐ
快,kuài,何,hé,水,shuǐ,名,míng,体,tī tǐ
呢,ne ní,东,dōng,叫,jiào,西,xī,应,yīng yìng
便,biàn pián,放,fàng,马,mǎ,难,nán nàn,轻,qīng
更,gēng gèng,美,měi,位,wèi,关,guān,机,jī
接,jiē,先,xiān,文,wén,处,chǔ chù,并,bīng bìng
望,wàng,常,cháng,完,wán,四,sì,飞,fēi
师,shī,者,zhě,安,ān,清,qīng,刚,gāng
跟,gēn,月,yuè,信,xìn,山,shān,爱,ài
内,nèi,龙,lóng,空,kōng kòng,带,dài,找,zhǎo
原,yuán,入,rù,李,lǐ,连,lián,吃,chī
场,cháng chǎng,平,píng,思,sī,林,lín,变,biàn
使,shǐ,由,yóu,受,shòu,亲,qīn qìng,命,mìng
目,mù,强,jiàng qiáng qiǎng,男,nán,任,rén rèn,该,gāi
路,lù,车,chē jū,今,jīn,海,hǎi,加,jiā
远,yuǎn,活,huó,特,tè,解,jiě jiè xiè,电,diàn
世,shì,性,xìng,表,biǎo,许,xǔ,它,tā
立,lì,黑,hēi,金,jīn,红,hóng,花,huā
转,zhuǎn zhuàn,总,zǒng,算,suàn,城,chéng,队,duì
孩,hái,反,fǎn,工,gōng,始,shǐ,满,mǎn
新,xīn,兵,bīng,物,wù,离,lí,非,fēi
虽,suī,云,yún,似,shì sì,万,mò wàn,至,zhì
干,gān gàn,通,tōng tòng,认,rèn,失,shī,火,huǒ
哥,gē,士,shì,五,wǔ,惊,jīng,魔,mó
竟,jìng,姐,jiě,乎,hū,剑,jiàn,往,wǎng
量,liáng liàng,早,zǎo,结,jiē jié,怕,pà,流,liú
突,tū,坐,zuò,斯,sī,音,yīn,紧,jǐn
指,zhǐ,拉,lā lá,杀,shā,半,bàn,记,jì
且,qiě,利,lì,合,gě hé,倒,dǎo dào,书,shū
度,dù duó,微,wēi,步,bù,教,jiāo jiào,喜,xǐ
越,yuè,影,yǐng,谁,shéi shuí,冷,lěng,深,shēn
告,gào,落,là lào luò,象,xiàng,容,róng,怪,guài
传,chuán zhuàn,钱,qián,提,dī tí,言,yán,随,suí
每,měi,双,shuāng,服,fú fù,击,jī,武,wǔ
哪,nǎ na né,数,shǔ shù shuò,站,zhàn,奇,jī qí,房,fáng
管,guǎn,灵,líng,刻,kè,题,tí,衣,yī
周,zhōu,静,jìng,伤,shāng,百,bǎi,拿,ná
妈,mā,办,bàn,星,xīng,化,huà,功,gōng
绝,jué,系,jì xì,般,bān,必,bì,业,yè
尔,ěr,件,jiàn,血,xiě xuè,代,dài,精,jīng
弟,dì,终,zhōng,近,jìn,条,tiáo,青,qīng
界,jiè,司,sī,整,zhěng,欢,huān,字,zì
晚,wǎn,民,mín,帮,bāng,切,qiē qiè,即,jí
忙,máng,交,jiāo,或,huò,暗,àn,夫,fū
员,yuán yùn,根,gēn,石,dàn shí,哈,hā hǎ hà,夜,yè
父,fù,制,zhì,友,yǒu,阿,ā ē,息,xī
冲,chōng chòng,酒,jiǔ,保,bǎo,片,piān piàn,形,xíng
阵,zhèn,南,nā nán,决,jué,请,qǐng,各,gè
报,bào,兴,xīng xìng,阳,yáng,急,jí,语,yǔ
令,líng lǐng lìng,错,cuò,及,jí,刘,liú,极,jí
识,shí zhì,备,bèi,慢,màn,雪,xuě,苦,kǔ
若,ruò,领,lǐng,收,shōu,底,dǐ,尽,jǐn jìn
准,zhǔn,华,huá huà,答,dā dá,众,zhòng,千,qiān
消,xiāo,视,shì,罗,luó,敢,gǎn,留,liú
克,kè,乐,lè yuè,够,gòu,跑,páo pǎo,显,xiǎn
嘴,zuǐ,官,guān,断,duàn,未,wèi,势,shì
句,gōu jù,求,qiú,计,jì,论,lún lùn,达,dá
则,zé,害,hài,八,bā,单,chán dān shàn,久,jiǔ
脚,jiǎo,德,dé,元,yuán,脑,nǎo,楚,chǔ
雨,yǔ,睛,jīng,响,xiǎng,刀,dāo,确,què
玉,yù,沉,chén,北,běi,格,gé,停,tíng
陈,chén,市,shì,朝,cháo zhāo,喝,hē hè,族,zú
江,jiāng,团,tuán,母,mǔ,章,zhāng,装,zhuāng
亮,liàng,客,kè,照,zhào,乱,luàn,易,yì
足,zú,依,yī,黄,huáng,修,xiū,破,pò
台,tāi tái,球,qiú,呀,yā ya,院,yuàn,送,sòng
包,bāo,义,yì,诉,sù,攻,gōng,丝,sī
围,wéi,玩,wán,待,dāi dài,复,fù,况,kuàng
楼,lóu,丽,lí lì,痛,tòng,梦,mèng,呼,hū
摇,yáo,期,jī qī,英,yīng,低,dī,帝,dì
兄,xiōng,背,bēi bèi,持,chí,爷,yé,皇,huáng
七,qī,六,liù,穿,chuān,杨,yáng,政,zhèng
运,yùn,居,jū,叶,xié yè,热,rè,校,jiào xiào
谢,xiè,曾,céng zēng,古,gǔ,细,xì,产,chǎn
睡,shuì,希,xī,速,sù,室,shì,旁,páng
另,lìng,怀,huái,露,lòu lù,异,yì,写,xiě
鬼,guǐ,娘,niáng,取,qǔ,式,shì,除,chú
级,jí,考,kǎo,建,jiàn,愿,yuàn,招,zhāo
饭,fàn,布,bù,续,xù,程,chéng,首,shǒu
观,guān guàn,朋,péng,务,wù,掉,diào,赶,gǎn
忽,hū,注,zhù,术,shù zhú,甚,shèn,差,chā chà chāi cī
呵,hē,展,zhǎn,争,zhēng,品,pǐn,兰,lán
宝,bǎo,香,xiāng,斗,dǒu dòu,故,gù,雷,léi
念,niàn,段,duàn,顿,dùn,角,jiǎo jué,疑,yí
护,hù,闪,shǎn,木,mù,需,xū,调,diào tiáo
类,lèi,妹,mèi,爸,bà,线,xiàn,左,zuǒ
游,yóu,派,pài,谈,tán,激,jī,冰,bīng
敌,dí,跳,tiào,支,zhī,约,yāo yuē,巴,bā
您,nín,顾,gù,肯,kěn,醒,xǐng,铁,tiě
抱,bào,淡,dàn,造,zào,伙,huǒ,资,zī
群,qún,集,jí,联,lián,商,shāng,号,háo hào
节,jiē jié,讲,jiǎng,掌,zhǎng,赵,zhào,密,mì
九,jiǔ,病,bìng,卫,wèi,米,mǐ,威,wēi
继,jì,渐,jiàn,统,tǒng,追,zhuī,亚,yà
简,jiǎn,练,liàn,基,jī,选,xuǎn,推,tuī
改,gǎi,退,tuì,味,wèi,份,fèn,举,jǔ
示,shì,忍,rěn,历,lì,器,qì,恐,kǒng
引,yǐn,试,shì,皮,pí,习,xí,靠,kào
导,dǎo,存,cún,莫,mò,志,zhì,区,ōu qū
汉,hàn,右,yòu,严,yán,态,tài,买,mǎi
幸,xìng,社,shè,佛,fó fú,议,yì,树,shù
止,zhǐ,块,kuài,守,shǒu,毛,máo,挥,huī
胡,hú,散,sǎn sàn,板,bǎn,仅,jǐn,隐,yǐn
怒,nù,床,chuáng,苏,sū,料,liào,股,gǔ
局,jú,班,bān,图,tú,岁,suì,礼,lǐ
独,dú,初,chū,福,fú,顺,shùn,狂,kuáng
默,mò,巨,jù,既,jì,松,sōng,证,zhèng
烈,liè,否,fǒu pǐ,恶,ě è wù,治,zhì,缓,huǎn
排,pái pǎi,费,fèi,拍,pāi,耳,ěr,医,yī
寒,hán,哭,kū,温,wēn,府,fǔ,担,dān dàn
称,chèn chēng,余,yú,钟,zhōng,泪,lèi,烟,yān
仍,réng,具,jù,忘,wàng,恩,ēn,毕,bì
警,jǐng,蓝,lán,宫,gōng,吸,xī,陆,liù lù
究,jiū,抓,zhuā,压,yā yà,沙,shā shà,救,jiù
呆,dāi,河,hé,迷,mí,枪,qiāng,组,zǔ
权,quán,叹,tàn,孙,sūn,卷,juǎn juàn,查,chá zhā
毫,háo,春,chūn,察,chá,圣,shèng,草,cǎo
较,jiào,胜,shèng,遇,yù,充,chōng,史,shǐ
堂,táng,防,fáng,据,jū jù,猛,měng,骑,qí
土,tǔ,卡,kǎ qiǎ,助,zhù,京,jīng,银,yín
贵,guì,永,yǒng,质,zhì,屋,wū,须,xū
副,fù,换,huàn,刺,cī cì,属,shǔ,闻,wén
境,jìng,禁,jīn jìn,阴,yīn,共,gòng,负,fù
弄,lòng nòng,翻,fān,虎,hǔ,层,céng,喊,hǎn
逃,táo,晓,xiǎo,座,zuò,雅,yǎ,参,cān cēn shēn
射,shè,婚,hūn,险,xiǎn,君,jūn,划,huá huà
坚,jiān,价,jià jie,柔,róu,超,chāo,扬,yáng
科,kē,按,àn,狠,hěn,野,yě,秦,qín
秘,bì mì,熟,shóu shú,置,zhì,仙,xiān,模,mó mú
伸,shēn,波,bō,肉,ròu,假,jiǎ jià,齐,qí
舞,wǔ,脱,tuō,广,guǎng,姑,gū,麻,má
投,tóu,顶,dǐng,致,zhì,责,zé,景,jǐng
营,yíng,维,wéi,设,shè,坏,huài,啦,lā la
秀,xiù,败,bài,眉,méi,州,zhōu,药,yào
承,chéng,案,àn,狼,láng,专,zhuān,偷,tōu
画,huà,吴,wú,店,diàn,哦,é ó ò,弹,dàn tán
食,shí,欲,yù,抬,tái,标,biāo,秋,qiū
厉,lì,良,liáng,际,jì,状,zhuàng,烦,fán
午,wǔ,摆,bǎi,戏,xì,桌,zhuō,船,chuán
短,duǎn,村,cūn,某,mǒu,摸,mō,付,fù
演,yǎn,规,guī,萧,xiāo,封,fēng,握,wò
田,tián,唐,táng,藏,cáng zàng,震,zhèn,混,hùn
虚,xū,透,tòu,纪,jǐ jì,凌,líng,休,xiū
嘛,ma,梅,méi,紫,zǐ,歌,gē,临,lín
毒,dú,宗,zōng,著,zhù zhuó,索,suǒ,印,yìn
寻,xún,湖,hú,劲,jìn jìng,职,zhí,技,jì
恨,hèn,婆,pó,杰,jié,羽,yǔ,咱,zán
素,sù,凡,fán,值,zhí,飘,piāo,养,yǎng
嘿,hēi,普,pǔ,宁,níng nìng,吓,hè xià,兽,shòu
夏,xià,读,dòu dú,街,jiē,牛,niú,仿,fǎng
胸,xiōng,浪,làng,富,fù,尚,shàng,宇,yǔ
骨,gū gǔ,智,zhì,纷,fēn,升,shēng,叔,shū
善,shàn,弱,ruò,架,jià,卖,mài,袋,dài
网,wǎng,朱,zhū,骂,mà,雄,xióng,赛,sài
略,lüè,杯,bēi,施,shī,墙,qiáng,环,huán
罪,zuì,牙,yá,窗,chuāng,柳,liǔ,厅,tīng
搞,gǎo,端,duān,洞,dòng tóng,适,shì,拥,yōng
释,shì,洋,yáng,肩,jiān,魂,hún,闹,nào
蒙,mēng méng měng,洗,xǐ xiǎn,灯,dēng,借,jiè,伯,bǎi bó
免,miǎn,菜,cài,验,yàn,凤,fèng,鱼,yú
徐,xú,型,xíng,娜,nà nuó,暴,bào,亡,wáng
讨,tǎo,辈,bèi,懂,dǒng,腿,tuǐ,灭,miè
妙,miào,效,xiào,危,wēi,优,yōu,盘,pán
套,tào,丁,dīng,趣,qù,妖,yāo,束,shù
杂,zá,诗,shī,迎,yíng,舍,shě shè,旧,jiù
彩,cǎi,委,wěi,挂,guà,笔,bǐ,狗,gǒu
鲜,xiān xiǎn,纸,zhǐ,抗,kàng,探,tàn,韩,hán
尼,ní,控,kòng,惜,xī,珠,zhū,抽,chōu
创,chuāng chuàng,归,guī,挺,tǐng,奋,fèn,陪,péi
硬,yìng,避,bì,园,yuán,托,tuō,训,xùn
勇,yǒng,聊,liáo,奶,nǎi,庄,zhuāng,奔,bēn bèn
镇,zhèn,拳,quán,采,cǎi cài,研,yán,配,pèi
